feature_name,feature_type
loan_amnt,numeric
term,numeric
int_rate,numeric
installment,numeric
annual_inc,numeric
dti,numeric
delinq_2yrs,numeric
inq_last_6mths,numeric
open_acc,numeric
pub_rec,numeric
revol_bal,numeric
revol_util,numeric
total_acc,numeric
fico_range_low,numeric
fico_range_high,numeric
issue_year,numeric
issue_month,numeric
issue_month_sin,numeric
issue_month_cos,numeric
credit_history_months,numeric
grade,categorical
sub_grade,categorical
emp_length,categorical
home_ownership,categorical
verification_status,categorical
purpose,categorical
application_type,categorical
