dq_numeric_distributions_results.feature,dq_numeric_distributions_results.bucket,dq_numeric_distributions_results.count,dq_numeric_distributions_results.share_pct
annual_inc,000000-025000,75484,3.339
annual_inc,025000-050000,562818,24.8961
annual_inc,050000-075000,696575,30.8128
annual_inc,075000-100000,431657,19.0942
annual_inc,100000-150000,336046,14.8649
annual_inc,150000+,158084,6.9928
annual_inc,NULL,4,0.0002
dti,00-10,407848,18.041
dti,10-20,922306,40.7979
dti,100+,2561,0.1133
dti,20-30,682770,30.2021
dti,30-40,218834,9.6801
dti,40-100,24636,1.0898
dti,<0,2,0.0001
dti,NULL,1711,0.0757
fico_range_low,610-650,231,0.0102
fico_range_low,650-675,549716,24.3165
fico_range_low,675-700,754855,33.3908
fico_range_low,700-725,507466,22.4476
fico_range_low,725-750,240930,10.6575
fico_range_low,750+,207470,9.1774
int_rate,05-10,650457,28.7728
int_rate,10-15,925411,40.9353
int_rate,15-20,498819,22.0651
int_rate,20-25,136909,6.0561
int_rate,25+,49072,2.1707
loan_amnt,00000-05000,214606,9.493
loan_amnt,05000-10000,495455,21.9163
loan_amnt,10000-15000,527006,23.312
loan_amnt,15000-20000,355499,15.7254
loan_amnt,20000-30000,436259,19.2978
loan_amnt,30000+,231843,10.2555
revol_util,000-020,287377,12.712
revol_util,020-040,523527,23.1581
revol_util,040-060,616514,27.2713
revol_util,060-080,520450,23.022
revol_util,080-100,303655,13.4321
revol_util,100+,7343,0.3248
revol_util,NULL,1802,0.0797
