dataset,label,count,share
full_prepared_raw,0.0,1076751,0.8003738915194267
full_prepared_raw,1.0,268559,0.19962610848057324
train_raw,0.0,753596,0.8001783846631663
train_raw,1.0,187748,0.19935335559602244
test_raw,0.0,323155,0.8008301840034694
test_raw,1.0,80811,0.20026268508766495
train_encoded_before_balancing,0.0,753596,0.8001783846631663
train_encoded_before_balancing,1.0,187748,0.19935335559602244
train_encoded,0.0,753596,0.5006184690400112
train_encoded,1.0,751734,0.49938153095998883
test_encoded,0.0,323155,0.8008301840034694
test_encoded,1.0,80811,0.20026268508766495
